"date","ie_opr","output"
2016-04-01,14.1333333333333,30781.6626727302
2016-07-01,13.7,30815.7097677748
2016-10-01,12.8,31029.9852822772
2017-01-01,11.8666666666667,31118.0411776483
2017-04-01,10.5333333333333,31283.4932296973
2017-07-01,9.93333333333333,31543.6792881594
2017-10-01,9.1,31549.5922584281
2018-01-01,8.6,31957.0029599532
2018-04-01,8.73333333333333,32051.5155732576
2018-07-01,9.9,32257.6328852522
2018-10-01,9.76666666666667,32402.9301442427
2019-01-01,9.86666666666667,32614.2085437222
2019-04-01,9.36666666666667,32724.944921106
2019-07-01,9.13333333333333,33036.3806461504
2019-10-01,8.63333333333333,32954.3420072241
2020-01-01,8.03333333333333,32862.3555122938
2020-04-01,8.16666666666667,30437.5686528635
2020-07-01,8.66666666666667,32624.8904412618
2020-10-01,10.4333333333333,32899.1700293494
2021-01-01,10.1666666666667,33175.2385279044
2021-04-01,11.7,33701.2614526576
2021-07-01,12.7333333333333,33957.7043434087
2021-10-01,13.9666666666667,34299.8080877076
2022-01-01,15.1666666666667,34460.5093269137
2022-04-01,12.1333333333333,32965.4087325571
2022-07-01,11.7666666666667,33235.0536900168
2022-10-01,12.3666666666667,33660.2558640608
2023-01-01,11.5,33982.6891878118
2023-04-01,10.4666666666667,34495.0635983683
2023-07-01,11.4333333333333,34956.3954028868
2023-10-01,12.5333333333333,35264.8369359563
2024-01-01,12.0333333333333,35617.0386156441
2024-04-01,11.5333333333333,35803.9285947563
